AGE,INCTOT
57,89200
17,7900
51,30000
47,10000
40,3300
43,6000
27,24500
42,14100
21,3940
52,26000
50,29000
49,52000
25,17000
45,1200
40,27100
37,2000
30,26300
71,13500
81,39000
78,6000
53,9900
48,5900
55,36000
43,11000
56,7600
17,4900
23,16800
85,5600
61,10300
58,15000
39,5900
34,54010
40,17700
16,400
74,10800
35,30000
56,32000
22,13700
40,15600
43,1200
36,8200
42,78000
17,1800
19,2000
65,12000
61,14400
44,170
52,6000
27,3000
19,700
20,60
25,12700
33,80200
41,10000
15,400
52,14000
28,4000
24,12000
70,6900
34,5900
30,23000
40,17000
41,500
45,29400
24,12000
24,9000
50,50000
79,15700
50,50000
46,30000
18,8100
34,36370
15,4000
25,900
24,6000
45,181000
48,5000
30,29500
26,15800
22,18000
24,37300
44,7600
41,43800
17,3600
54,30700
36,20000
65,120300
52,3500
59,45400
83,7000
37,50000
37,21900
80,1100
66,8600
64,7700
41,7700
37,12000
15,410
53,11000
39,27100
17,1000
35,2500
52,500
51,117000
19,2000
23,18000
60,3600
23,11850
46,11200
21,3900
43,9000
33,12500
73,7900
75,3400
73,32300
72,7000
64,12200
37,2600
68,12300
71,13000
35,4700
49,12300
37,3400
17,630
33,3800
36,60000
21,2500
60,15800
37,18000
37,28500
17,360
61,92710
69,6300
46,6300
48,20000
46,40100
17,640
44,1300
17,2400
37,2500
70,62100
68,4700
25,8000
42,15600
38,29000
16,1600
70,10700
63,4900
45,150000
46,21400
22,24000
69,10200
32,6300
36,5300
17,700
64,6500
55,36000
51,81000
44,18000
27,1000
30,1400
79,6300
68,6000
27,3700
51,150000
24,8000
20,4800
69,12700
69,7200
26,19500
22,4000
65,10800
56,7900
71,26200
39,3200
37,3400
32,35000
32,35000
45,15000
39,6000
31,27300
31,24300
57,6700
58,182800
44,58030
44,23000
18,2000
38,22800
33,6400
48,32000
47,20000
19,2500
65,10070
45,34000
45,51000
71,26790
69,9590
41,32000
46,33000
44,33000
21,7000
42,2900
41,66000
41,15000
16,2300
74,8400
70,5900
57,73600
52,42000
46,41000
45,8000
16,1800
31,9000
30,15000
70,5900
68,9700
89,4600
85,10100
48,2900
26,22000
56,640
64,400
38,46000
37,12000
83,5200
48,15000
47,22000
47,25000
24,5000
29,15000
59,38000
50,23550
35,8000
59,28000
50,10000
52,9700
49,30800
66,4800
72,4500
47,4600
50,29900
41,8700
18,6000
30,30000
28,14600
26,22000
25,4500
35,13600
56,45000
37,16300
34,10100
63,26700
72,18500
75,36160
72,7000
22,1200
20,5000
41,39400
43,15600
53,19000
51,67200
54,30400
51,4800
17,1100
43,18000
43,14000
43,20100
28,18800
62,55000
40,11200
28,22000
19,16000
19,5000
27,10000
55,7300
44,40000
19,6500
17,2000
74,6100
26,16000
87,14800
58,44000
58,24000
93,9000
60,31200
59,17000
36,20000
71,16000
74,45900
45,17100
51,4700
26,2000
42,20000
75,67050
66,43610
49,25010
67,48400
62,2700
39,12500
61,8600
87,7900
16,2600
15,2600
21,2600
23,2600
38,100000
61,24390
59,65000
59,23800
53,6100
41,3600
24,2000
23,5000
29,29000
55,70000
53,4000
57,4800
42,26004
41,25000
34,36000
47,22000
47,23000
64,9000
52,400
40,42000
36,1600
65,22000
63,3800
42,3000
39,3600
20,12000
19,9600
16,1600
60,9500
65,23800
62,1100
25,26000
29,5600
71,36000
55,24000
49,16300
17,1000
43,3300
19,3000
86,5200
22,11000
26,10000
39,16000
50,17100
21,9000
19,600
47,32500
28,7200
56,37500
52,34000
58,3800
45,8900
58,6100
38,14000
50,6000
61,10000
50,19200
37,16600
16,230
56,38480
53,6800
49,9600
37,32200
25,1400
61,19800
30,5000
21,1400
63,4900
57,4200
72,6300
27,1200
36,11000
72,29400
72,3700
57,34000
84,12600
56,232000
55,1840
41,16500
37,16800
51,22000
51,25000
50,24000
58,6100
33,5600
32,10600
29,4900
56,35000
29,12500
46,18000
38,17210
56,10730
59,1600
46,18000
65,30100
27,12000
25,9000
51,6000
27,4860
80,37000
78,7500
81,13200
50,30000
30,46800
39,55000
43,57000
41,23600
50,40300
47,38000
53,34000
28,20850
45,18000
17,900
76,1400
61,24000
36,35400
34,9200
18,3100
15,250
35,8000
27,50000
25,11000
25,12000
48,27300
66,7600
48,36000
46,42000
43,25000
37,26000
28,11200
34,29000
24,32000
17,3600
19,5600
40,14600
39,37200
64,9400
66,5800
28,26000
61,126000
57,126000
51,24000
60,9700
29,5000
33,50000
88,3400
88,2900
42,3400
30,13000
29,15000
33,8000
29,14000
22,1000
42,40000
38,1000
15,1730
22,750
22,24000
53,1200
52,30200
71,4500
68,45500
66,6450
39,5400
35,32000
15,790
33,1200
35,40000
44,35000
64,5200
22,5400
20,12800
65,5300
84,20000
70,25000
83,3600
59,8100
44,14000
23,2500
17,5500
63,11700
67,5700
41,5900
19,6000
29,23100
29,20800
47,3230
48,430
36,560
30,17500
27,1700
74,12900
68,21900
54,17000
51,15000
58,12750
40,12000
29,16000
64,6200
69,5700
34,5800
54,830
22,28200
64,32000
36,18200
51,3300
22,6000
45,20000
49,24000
58,70000
55,7300
48,22000
50,10000
44,2200
60,61700
60,9000
58,55600
53,25000
62,12800
57,12500
52,24430
46,8430
47,28000
25,3300
20,16700
24,10000
24,11400
42,27000
28,10600
60,6100
68,14800
26,9400
43,3800
51,133000
40,35600
38,5500
79,12600
52,35000
46,30000
64,9660
67,9000
73,4900
27,36000
20,5000
19,6000
66,6500
33,14000
51,4000
66,10000
31,21000
25,5450
55,20000
48,32000
47,1500
40,4400
27,9290
16,1700
69,9500
51,29800
58,110500
56,50600
56,34000
28,3600
22,12000
77,43000
78,5250
42,6100
40,360
15,190
38,60000
51,29010
43,27000
48,19000
60,2200
18,1100
40,59100
24,2100
37,5400
47,24900
18,3500
16,5240
15,40
45,27000
64,7000
37,38600
34,2000
19,6000
48,103360
45,30000
40,27500
36,36000
63,6000
45,12000
36,24000
35,1100
35,42000
16,500
42,26200
38,11000
18,2400
18,3000
22,5100
51,43000
60,6100
67,12600
74,3600
33,4800
75,25500
66,8100
48,20000
18,5230
53,12700
24,6400
34,15800
52,19400
68,24100
68,8400
51,6000
22,20000
24,6000
19,1300
34,40000
32,22000
44,41000
67,11600
47,7200
65,10500
55,75000
42,45000
18,4000
48,34080
43,18000
34,32000
37,9000
37,10400
23,12500
39,200
39,29000
36,10200
58,4800
59,8600
42,39000
76,9000
46,40000
34,1100
34,10800
42,25000
45,27000
40,10300
76,7700
42,1000
33,6700
61,22800
19,3300
15,1000
37,17000
33,6000
68,30800
60,32500
72,37500
69,23900
35,18000
66,27000
60,37100
45,15100
66,11900
64,490
33,111000
34,2800
44,11000
38,12200
16,1900
49,48000
40,20000
65,8600
44,9500
34,14000
30,3000
64,25400
57,22900
43,61000
42,34000
50,13000
51,19200
21,22200
89,15600
71,28800
49,39010
51,17010
66,10000
23,22000
22,8400
31,1500
34,19500
54,55000
56,55000
74,12500
50,46000
35,29000
31,1700
40,16000
40,510
41,36400
65,16300
43,27250
55,19100
42,25000
42,8500
69,8800
38,1400
19,2700
37,55000
18,1600
21,40000
24,4600
46,36000
24,19000
25,3000
55,16400
69,26580
64,10400
34,750
36,15800
69,22000
32,25000
25,15000
40,15000
18,4100
44,5000
57,59000
33,35000
33,11600
42,14000
36,13000
53,12000
46,6600
53,15000
25,24000
25,10600
46,17000
46,21000
55,36800
43,84000
43,5000
50,63500
48,20400
22,20800
38,5800
25,27800
34,75000
35,12800
38,4400
36,1200
43,15000
73,24000
69,6000
45,5000
45,49300
21,2300
19,2300
18,1400
38,35020
19,304
17,254
53,36000
48,2000
18,4000
17,2000
41,14800
46,3000
21,13000
26,1700
62,4900
37,30100
19,10000
33,18000
46,49500
19,3300
35,38200
37,23000
62,500
39,28000
58,25300
55,36000
71,20000
78,12000
72,5000
30,12200
38,6000
71,13600
69,32200
70,24100
52,8900
17,200
65,7600
57,19000
45,19000
63,5500
25,2500
58,24500
36,18000
39,26000
32,34500
